temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+1.07046204E+00	+8.64614921E-01	0.00173999	0.515629	-0.000120327	-179.743	-1.03601e-005	-179.517	0.00242521	0.0234376	176.766	0
+1.07046358E+00	+8.63483168E-01	0.00173975	0.515629	-0.000120275	-178.751	-1.03713e-005	-179.532	0.00242521	0.0234376	177.094	0
+1.07046191E+00	+8.63482187E-01	0.00173975	0.523441	-0.000122317	179.978	-1.03787e-005	-179.532	0.00242521	0.0234376	177.391	0
+1.07045986E+00	+8.58746405E-01	0.00173975	0.515629	-0.000122086	179.923	-1.03694e-005	-179.532	0.00242521	0.0234376	177.703	0
+1.07046077E+00	+8.58577957E-01	0.00173975	0.523441	-0.000123189	179.712	-1.03526e-005	-179.517	0.00242521	0.0234376	178.031	0
+1.07046418E+00	+8.58584352E-01	0.00173999	0.523441	-0.000121512	-179.931	-1.0321e-005	-179.54	0.00242521	0.0234376	178.328	0
+1.07046719E+00	+8.54362842E-01	0.00173975	0.515629	-0.000122429	-179.657	-1.0293e-005	-179.642	0.00242521	0.0234376	178.641	0
+1.07046548E+00	+8.53703669E-01	0.00173975	0.515629	-0.000121691	179.704	-1.02763e-005	-179.665	0.00242521	0.0234376	178.953	0
+1.07046418E+00	+8.51249644E-01	0.00173999	0.515629	-0.000122623	179.142	-1.02744e-005	-179.595	0.00242521	0.0234376	179.266	0
+1.07046412E+00	+8.48792465E-01	0.00173975	0.515629	-0.000121795	-179.774	-1.02558e-005	-179.54	0.00242521	0.0234376	179.594	0
+1.07046440E+00	+8.48791206E-01	0.00173975	0.515629	-0.000120551	-179.774	-1.02334e-005	-179.595	0.00242521	0.0234376	179.891	0
+1.07046480E+00	+8.45502864E-01	0.00173999	0.515629	-0.00012178	179.767	-1.02427e-005	-179.759	0.00242521	0.0234376	180.219	0
+1.07046889E+00	+8.43925811E-01	0.00173975	0.515629	-0.000117749	-179.696	-1.02204e-005	179.954	0.00242521	0.0234376	180.516	0
+1.07046901E+00	+8.43929209E-01	0.00173975	0.523441	-0.000122302	-179.438	-1.01813e-005	179.712	0.00242521	0.0234376	180.844	0
+1.07046486E+00	+8.40982427E-01	0.00173975	0.515629	-0.000119679	-179.735	-1.01366e-005	179.681	0.00242521	0.0234376	181.156	0
+1.07046849E+00	+8.39018455E-01	0.00173975	0.515629	-0.000122048	179.446	-1.01142e-005	179.821	0.00242521	0.0234376	181.453	0
+1.07047088E+00	+8.39017511E-01	0.00173999	0.523441	-0.000120938	179.962	-1.00937e-005	-179.97	0.00242521	0.0234376	181.766	0
+1.07047128E+00	+8.35591451E-01	0.00173975	0.515629	-0.000123256	-179.618	-1.00639e-005	-179.868	0.00242521	0.0234376	182.094	0
+1.07046753E+00	+8.34126692E-01	0.00173975	0.523441	-0.000121281	179.845	-1.0049e-005	-179.899	0.00242521	0.0234376	182.391	0
+1.07046457E+00	+8.34129827E-01	0.00173975	0.515629	-0.000120923	179.962	-1.00453e-005	-179.923	0.00242521	0.0234376	182.703	0
+1.07046230E+00	+8.30836868E-01	0.00173975	0.523441	-0.000121832	-179.368	-1.00341e-005	-179.899	0.00242521	0.0234376	183.031	0
+1.07046168E+00	+8.29207913E-01	0.00173975	0.523441	-0.000121303	-179.126	-1.00323e-005	-179.821	0.00242521	0.0234376	183.328	0
+1.07046463E+00	+8.29205266E-01	0.00173975	0.515629	-0.000120275	-179.204	-1.00323e-005	-179.688	0.00242521	0.0234376	183.641	0
+1.07046418E+00	+8.25370050E-01	0.00173999	0.515629	-0.000120186	-179.798	-1.00062e-005	-179.571	0.00242521	0.0234376	183.953	0
+1.07046668E+00	+8.24327254E-01	0.00173999	0.515629	-0.000121005	179.431	-9.96707e-006	-179.618	0.00242521	0.0234376	184.266	0
+1.07046616E+00	+8.23693293E-01	0.00173975	0.515629	-0.00012067	-179.603	-9.91492e-006	-179.618	0.00242521	0.0234376	184.594	0
+1.07046025E+00	+8.19420381E-01	0.00173975	0.515629	-0.000121534	-179.931	-9.86835e-006	-179.493	0.00242521	0.0234376	184.891	0
